72

448 704

0 +

1 +

2 B

3 +

4 +

5 -

6 M

7 +

8 +

9 A

10 +

11 -

12 +

13 B

14 +

15 I

16 B

17 T

18 -

19 A

20 +

21 I

22 +

23 +

24 M

25 -

26 -

27 S

28 +

29 I

30 +

31 B

32 +

33 I

34 +

35 -

36 A

37 T

38 S

39 +

40 -

41 +

42 B

43 -

44 I

45 +

46 +

47 S

48 B

49 +

50 B

51 A

52 +

53 +

54 I

55 -

56 B

57 S

58 +

59 H

60 -

61 B

62 A

63 M

64 +

65 +

66 -

67 H

68 I

69 +

70 +

71 -

0 1
1,E

1 1
2,N

2 2
3,E 45,N

3 1
4,E

4 1
5,E

5 1
6,N

6 1
7,N

7 1
8,O

8 1
9,N

9 1
10,N

10 1
11,O

11 1
48,O

12 1
11,S

13 2
12,S 54,O

14 1
13,O

15 1
14,S

16 2
15,S 17,N

17 1
18,N

18 1
19,O

19 1
20,O

20 1
21,O

21 1
22,O

22 1
23,S

23 1
24,O

24 1
25,O

25 1
26,O

26 1
27,O

27 1
28,S

28 1
29,S

29 1
62,E

30 1
29,N

31 2
30,N 32,O

32 1
33,S

33 1
34,S

34 1
35,S

35 1
36,S

36 1
37,E

37 1
38,S

38 1
39,E

39 1
40,E

40 1
69,N

41 1
40,O

42 2
41,O 71,S

43 1
42,S

44 1
43,O

45 1
44,O

46 1
45,S

47 1
46,S

48 2
47,S 49,O

49 1
50,O

50 2
51,N 63,O

51 1
52,N

52 1
55,N

53 1
52,O

54 1
53,O

55 1
56,N

56 2
23,N 57,E

57 1
58,E

58 1
59,E

59 1
16,E

60 1
55,E

61 2
60,E 70,S

62 1
61,E

63 1
64,O

64 1
65,N

65 1
66,O

66 1
31,O

67 1
64,N

68 1
67,N

69 1
68,N

70 1
65,S

71 1
0,E
