51
0	M	2
36	1	
1	M	1
2		
2	M	1
3		
3	B	2
7	4	
4	M	1
5		
5	I	1
6		
6	M	1
10		
7	M	1
8		
8	C	1
9		
9	B	2
17	10	
10	T	2
11	41	
11	M	1
12		
12	T	1
13		
13	M	1
14		
14	I	1
15		
15	B	2
16	23	
16	E	1
17		
17	M	1
18		
18	M	1
19		
19	I	1
20		
20	B	2
21	31	
21	B	2
22	37	
22	B	2
1	36	
23	M	1
24		
24	T	2
2	25	
25	C	1
26		
26	E	1
27		
27	M	1
28		
28	B	2
29	47	
29	I	1
30		
30	B	2
35	41	
31	M	1
32		
32	T	1
33		
33	M	1
34		
34	E	1
30		
35	M	1
45		
36	M	1
37		
37	M	1
38		
38	C	1
39		
39	M	1
40		
40	I	1
41		
41	M	1
42		
42	E	1
43		
43	M	1
44		
44	C	1
35		
45	T	1
46		
46	M	1
28		
47	I	1
48		
48	M	1
49		
49	M	1
50		
50	C	1
18		
